Cluster,Transition,Partition,Num_Sentences,Word_Count,Sentence_IDs
1,1to2,1,2,42,"0,1"
1,1to2,2,4,64,"2,3,4,5"
2,2to3,1,3,40,"6,7,8"
2,2to3,2,4,56,"9,10,11,12"
2,2to3,3,4,53,"13,14,15,16"
3,3to4,1,4,32,"17,18,19,20"
3,3to4,2,6,32,"21,22,23,24,25,26"
3,3to4,3,4,48,"27,28,29,30"
3,3to4,4,3,44,"31,32,33"
3,3to4,5,4,39,"34,35,36,37"
3,3to4,6,3,45,"38,39,40"
3,3to4,7,6,46,"41,42,43,44,45,46"
3,3to4,8,4,47,"47,48,49,50"
3,3to4,9,3,38,"51,52,53"
